account_id,account_activity_level,customer_value_level,MOB,flag_female,avg_sales_L36M,cnt_sales_L36M,last_sales,month_since_last_sales,count_direct_promo_L12M,birth_date
100000006,X,A,91.0,0,25000.0,1,25000.0,26,5,1996-11-03
100000038,X,A,69.0,0,9000.0,5,10000.0,25,10,1971-04-24
100000382,X,A,123.0,1,17330.0,6,20000.0,18,6,1953-01-16
100000612,X,A,84.0,1,25830.0,6,25000.0,14,7,1997-06-07
100000757,X,A,40.0,0,25000.0,3,25000.0,17,5,1989-09-13
100000932,X,A,45.0,1,9000.0,4,10000.0,18,6,1971-11-05
100000996,X,A,105.0,1,10000.0,5,10000.0,19,6,1975-01-06
100001201,X,A,41.0,0,25000.0,2,25000.0,24,3,1973-09-04
100001304,X,A,126.0,1,17500.0,2,20000.0,17,6,1947-03-02
100001339,X,A,70.0,1,9800.0,4,10000.0,18,3,1951-06-14
100001496,X,A,52.0,0,25000.0,1,25000.0,19,6,1990-04-08
100001524,X,A,29.0,0,16670.0,3,20000.0,16,6,1947-09-11
100001603,X,A,81.0,1,10400.0,5,10000.0,22,6,1955-10-26
100001640,X,A,57.0,1,25000.0,2,25000.0,27,6,1956-11-20
100001673,X,A,41.0,1,9000.0,5,10000.0,7,8,1948-09-10
100001700,X,A,127.0,0,26250.0,4,25000.0,4,7,1952-03-18
100001915,X,A,105.0,1,16670.0,3,20000.0,15,6,1955-12-27
100001939,X,A,69.0,1,18330.0,3,20000.0,25,6,1979-01-30
100002213,Z,A,18.0,0,15000.0,2,15000.0,18,5,1954-05-24
100002226,Z,A,24.0,1,15000.0,1,15000.0,24,3,1946-12-20
100002320,Z,A,20.0,0,15000.0,1,15000.0,20,3,1989-10-08
100002327,Z,A,20.0,0,25000.0,1,25000.0,20,5,1956-05-30
100002364,Z,A,21.0,0,15000.0,1,15000.0,21,3,1989-09-07
100002370,Z,A,110.0,0,,0,15000.0,56,3,1972-08-18
100002468,X,A,109.0,0,5000.0,1,5000.0,14,3,1957-10-22
100002499,X,A,124.0,1,25000.0,2,25000.0,6,8,1984-10-17
100002547,X,A,61.0,0,,0,15000.0,61,3,1987-07-24
100002558,Y,B,79.0,1,17000.0,4,20000.0,26,5,1995-09-23
100003036,X,A,76.0,1,25000.0,3,25000.0,26,5,1951-12-13
100003193,X,A,123.0,0,25000.0,1,25000.0,18,5,1960-03-21
100003223,X,A,41.0,0,19000.0,4,20000.0,17,6,1968-05-15
100003308,Z,A,22.0,0,15000.0,2,15000.0,22,4,1952-12-12
100003321,Z,A,21.0,0,25000.0,1,25000.0,21,5,1948-09-17
100003356,Z,A,24.0,1,20000.0,1,20000.0,24,3,1958-07-05
100003483,Z,A,21.0,1,20000.0,1,20000.0,21,4,1993-04-20
